name,concept_type
human,c_countable_concept
beverage,c_countable_concept
restaurant,c_countable_concept
restaurant_name,c_entity
food,c_countable_concept
food_name,c_entity
food_ingredient_type,c_entity
rider,c_countable_concept
already_done,c_entity
some_address,c_entity
some_food_name,c_entity
some_ingredient_type,c_adj_entity
some_food_flavor,c_adj_entity
take_out,c_countable_concept
order_n,c_countable_concept
speed,c_concept
price,c_concept
some_speed_adj,c_adj_entity
碗,c_entity
个,c_entity
位,c_entity
家,c_entity
some_price_adj,c_adj_entity
sales_volume,c_concept
quantity,c_concept
spu_type,c_entity
份,c_entity
件,c_entity
some_sales_volume,c_entity
some_spu_name,c_entity
some_price,c_entity
元,c_entity
块,c_entity
角,c_entity
毛,c_entity
分,c_entity
some_quantity,c_entity
some_spu_type,c_entity
spu,c_countable_concept
cooking_method,c_concept
food_ingredient,c_concept
food_flavor,c_concept
palatability,c_concept
some_cooking_method,c_entity
some_food_ingredient,c_entity
some_food_palatability,c_adj_entity
杯,c_entity
alcohol_content,c_concept
some_content,c_entity
顿,c_entity
some_suitable_time,c_entity
address,c_countable_concept
ethnicity,c_concept
some_speed,c_entity
degree,c_concept
some_degree,c_entity
direction,c_concept
frequency,c_concept
spu_name,c_entity
time,c_concept
some_body_status,c_adj_entity
some_ethnicity,c_entity
some_direction,c_adj_entity
some_frequency,c_entity
批,c_entity
some_time,c_entity
some_pronoun,c_entity
rating,c_concept
some_rating,c_entity
some_quantity_adj,c_adj_entity
perception,c_concept
some_perception,c_entity
start,c_entity
middle,c_entity
end,c_entity
happened,c_entity
some_condition,c_entity
not,c_entity
weather,c_concept
some_weather,c_entity
some_shop_name,c_entity
act,c_meta
prep,c_meta
status,c_meta
what,c_query
which,c_query
why,c_query
whether,c_query
how,c_query
how_degree,c_query
this,c_entity
that,c_entity
些,c_entity
another_list,c_entity
点,c_entity
屏,c_entity
瓶,c_entity
ma,c_query
who,c_query
countable_concept,c_meta
adj_entity,c_meta
entity,c_meta
concept,c_meta
how_many,c_query
times,c_concept
some_times,c_entity
some_evaluation,c_adj_entity
whole_list,c_entity
liquid_food,c_countable_concept
food_style,c_concept
some_food_style,c_entity
there,c_entity
poi_list,c_entity
spu_list,c_entity
option_list,c_concept
some_ordinal,c_entity
option,c_countable_concept
they_restaurant,c_entity
shopping_cart,c_concept
words,c_countable_concept
full_reduction,c_concept
distance,c_concept
some_distance,c_entity
some_distance_adj,c_adj_entity
some_poi,c_entity
some_spu,c_entity
time_consumption,c_concept
some_time_consumption,c_entity
some_time_consumption_adj,c_adj_entity
question,c_countable_concept
page,c_countable_concept
的,c_entity
discount,c_concept
application,c_countable_concept
wanmi,c_entity
card,c_entity
poi,c_entity
order_n_detail,c_entity
some_order_n,c_entity
some_spu_list,c_entity
some_poi_list,c_entity
some_product_list,c_entity
some_product,c_entity
some_comment,c_entity
min_delivery_price,c_concept
spu_size,c_concept
reason,c_concept
weight,c_concept
some_weight,c_entity
product,c_entity
user,c_entity
comment,c_concept
restaurant_list,c_entity
food_list,c_entity
dont,c_entity
product_list,c_entity
deniable_type,c_entity
negative_type,c_entity
estimated_time,c_concept
per_person_price,c_concept
some_rating_adj,c_adj_entity
suitable_time,c_concept
some_count_size,c_entity
food_size,c_concept
act_prep,c_meta
shipping_fees,c_concept
specialty_food,c_concept
food_tag,c_concept
some_food_tag,c_entity
some_food_tag_adj,c_adj_entity
birthplace,c_concept
some_extent,c_entity
some_greeting,c_entity
some_dirt,c_entity
some_beverage_name,c_entity
some_liquid_food_name,c_entity
group,c_countable_concept
texture,c_concept
some_texture,c_adj_entity
temperature,c_concept
some_temperature,c_entity
some_goal,c_entity
value_is,c_meta
bill,c_concept
destination,c_concept
tableware,c_countable_concept
menu,c_concept
any,c_entity
preference,c_entity
avoid_food,c_entity
#,c_concept
how_long,c_query
casually,c_entity
modal_act,c_meta
only,c_entity
some_cooking_degree,c_entity
some_count_size_adj,c_adj_entity
cooking_degree,c_concept
phone_number,c_countable_concept
enough,c_adj_entity
bored,c_entity
test,c_entity
